seed,target_sparsity_pct,criterion,actual_sparsity,train_accuracy,val_accuracy,flops_ratio,dense_time_ms,sparse_time_ms
42,0,saliency,0.0,1.0,0.9749,1.0,0.294,0.493
123,0,saliency,0.0,1.0,0.9805,1.0,0.252,0.36
777,0,saliency,0.0,1.0,0.9833,1.0,0.312,0.382
42,0,magnitude,0.0,1.0,0.9749,1.0,0.385,0.523
123,0,magnitude,0.0,1.0,0.9805,1.0,0.302,0.495
777,0,magnitude,0.0,1.0,0.9833,1.0,0.307,0.505
42,50,saliency,0.4999,1.0,0.9721,0.5001,0.363,0.364
123,50,saliency,0.4999,1.0,0.9805,0.5001,0.337,0.375
777,50,saliency,0.4999,1.0,0.9805,0.5001,0.357,0.381
42,50,magnitude,0.4999,1.0,0.9749,0.5001,0.299,0.359
123,50,magnitude,0.4999,1.0,0.9833,0.5001,0.336,0.376
777,50,magnitude,0.4999,1.0,0.9833,0.5001,0.359,0.372
42,75,saliency,0.7499,1.0,0.9833,0.2501,0.413,0.31
123,75,saliency,0.7499,1.0,0.9861,0.2501,0.388,0.314
777,75,saliency,0.7499,1.0,0.9889,0.2501,0.43,0.285
42,75,magnitude,0.7499,1.0,0.9805,0.2501,0.371,0.295
123,75,magnitude,0.7499,1.0,0.9861,0.2501,0.279,0.214
777,75,magnitude,0.7499,1.0,0.9777,0.2501,0.312,0.313
42,90,saliency,0.8999,1.0,0.9805,0.1001,0.256,0.165
123,90,saliency,0.8999,1.0,0.9805,0.1001,0.257,0.178
777,90,saliency,0.8999,1.0,0.9749,0.1001,0.258,0.176
42,90,magnitude,0.8999,1.0,0.9721,0.1001,0.264,0.18
123,90,magnitude,0.8999,1.0,0.9889,0.1001,0.269,0.184
777,90,magnitude,0.8999,1.0,0.9694,0.1001,0.254,0.166
42,95,saliency,0.9499,1.0,0.9833,0.0501,0.25,0.155
123,95,saliency,0.9499,1.0,0.9777,0.0501,0.273,0.161
777,95,saliency,0.9499,1.0,0.9833,0.0501,0.319,0.171
42,95,magnitude,0.9499,1.0,0.9749,0.0501,0.306,0.171
123,95,magnitude,0.9499,1.0,0.9833,0.0501,0.253,0.159
777,95,magnitude,0.9499,1.0,0.9749,0.0501,0.257,0.176
